Name,Title,Description
Adult and Career Education (ACED),ACED 2700.  Desktop Publishing.  3 Hours.,"Prerequisite: ACED 2400 or CS 1000 or consent of instructor. Development of desktop publishing concepts and their application to the modern office. Basic, intermediate, and advanced features of a variety of application programs for page design will be used to create various business-related documents."
Adult and Career Education (ACED),ACED 2800.  Technical Organization Leadership.  3 Hours.,"A study of the learners with skills and knowledge related to the impact of leadership on a technical organization's success.  Students learn to apply leadership theory to an organization's mission, vision, and corporate culture.  The course focuses on the development of leadership abilities to diagnose problems, apply ethical decision-making, motivate employees, and implement change."
Adult and Career Education (ACED),ACED 2900.  Basic Theory in Adult and Career Education.  3 Hours.,"Reserved for the granting of academic credit based on either successful completion of the National Occupational Competency Examination (NOCTI Examination), approved professional licensure, or experiential credit based on past work experience. Requires approval of academic advisor prior to registration."
Adult and Career Education (ACED),ACED 2940.  Basic Admin Office Tech Skills.  3 Hours.,"Prerequisite: Approval of academic advisor prior to registration. Graded “Satisfactory” or “Unsatisfactory.” Reserved for the granting of academic credit based on either successful completion of office administrative and technical experiential credit based on 3 years of past work experience, military service, or approved professional licensure (such as CPS or CAP)."
Adult and Career Education (ACED),ACED 2950.  Basic Skills in Adult and Career Education.  3 Hours.,"Reserved for the granting of academic credit based on either successful completion of the National Occupational Competency Examination (NOCTI Examination), approved professional licensure, or experiential credit based on past work experience. Requires approval of academic advisor prior to registration."
Adult and Career Education (ACED),ACED 2960.  Intermediate Skills in Adult and Career Education.  3 Hours.,"Reserved for the granting of academic credit based on either successful completion of the National Occupational Competency Examination (NOCTI Examination), approved professional licensure, or experiential credit based on past work experience. Requires approval of academic advisor prior to registration."
Adult and Career Education (ACED),ACED 2999.  Entry to the Education Profession.  0 Hours.,"Graded “Satisfactory” or “Unsatisfactory.” A required non-credit course for all teacher education candidates pursuing a VSU recommendation for initial certification; must be successfully completed prior to admission to teacher education. Candidates are required to establish an electronic portfolio and provide evidence that all teacher education admission requirements have been satisfactorily met. If an “Unsatisfactory” grade is earned, the course must be repeated until a “Satisfactory” grade is received."
Adult and Career Education (ACED),ACED 3000.  Office Calculations and Recordkeeping.  3 Hours.,"Prerequisite:  ACED 2400 or CS 1000 or instructor consent.  A study of major aspects of workplace recordkeeping functions - business calculations, accounting fundamentals, and records management.  Emphasis is on solving business mathematics problems, studying and preparing a variety of accounting documents, and completing a filing simulation."
Adult and Career Education (ACED),ACED 3100.  Computer Systems.  3 Hours.,A general overview of computer hardware and networks. Emphasis is placed on developing basic technological expertise and leadership in administering computer technology in the workplace.
Adult and Career Education (ACED),ACED 3101.  Computerized Office Accounting.  3 Hours.,"Prerequisite: ACED 3000 or instructor consent. Hands-on application of bookkeeping and computer concepts through the installation, set-up, and use of a typical integrated computerized accounting software system, including set-up and maintenance of software, management of a chart of accounts and ledgers, analysis of transactions, generation of financial reports, file and data management, and system security."
Adult and Career Education (ACED),ACED 3150.  Computer Systems for the Office.  3 Hours.,"Prerequisites: ACED 2400 or CS 1000 or instructor consent.  A general overview of computer hardware, networks, and operating systems. Developing basic technological expertise and leadership in administering computer technology in the workplace is emphasized. This course helps prepare students to take a certification exam for a current operating system."
Adult and Career Education (ACED),ACED 3400.  Applied Computer Technology.  3 Hours.,"Prerequisite: ACED 2400 or CS 1000 or consent of instructor. Development of intermediate and advanced skills in the use of spreadsheet, database, communication, and presentation software. Emphasis is placed on creation of computer projects appropriate to the student’s major."
Adult and Career Education (ACED),ACED 3500.  Beginning Adult and Career Teacher Competency Development.  3 Hours.,"Reserved for the granting of academic credit based on either successful completion of the National Occupational Competency Examination (NOCTI Examination), approved professional licensure, or experiential credit based on past work experience. Requires approval of academic advisor prior to registration."
Adult and Career Education (ACED),ACED 3510.  Advanced Theory in Adult and Career Education.  3 Hours.,"Reserved for the granting of academic credit based on either successful completion of the National Occupational Competency Examination (NOCTI Examination), approved professional licensure, or experiential credit based on past work experience. Requires approval of academic advisor prior to registration."
Adult and Career Education (ACED),ACED 3520.  Advanced Skills in Adult and Career Education.  3 Hours.,"Reserved for the granting of academic credit based on either successful completion of the National Occupational Competency Examination (NOCTI Examination), approved professional licensure, or experiential credit based on past work experience. Requires approval of academic advisor prior to registration."
Adult and Career Education (ACED),ACED 3600.  History and Philosophy of Career Education.  3 Hours.,"Exploration of topics specific to adult and career education in industry and/or educational settings. Emphasis will be given to the examination of research, as applied to the public and private sectors."
Adult and Career Education (ACED),ACED 3610.  Web Design and Multimedia.  3 Hours.,"Prerequisite: ACED 2400 or CS 1000, or consent of instructor. Development of the knowledge and skills necessary for utilizing web editing and graphics programs effectively. This course will focus on the design and production of web sites and other materials for use in educational and training environments."
Adult and Career Education (ACED),ACED 3650.  Ethics and Liability in Adult and Career Education.  3 Hours.,"Investigation of professional ethics, legal and liability issues in adult and career education settings. This course focuses on the elements of planning fair and equitable learning environments and addressing instructor and student legal responsibilities and liability issues."
Adult and Career Education (ACED),ACED 3800.  Multicultural Workforce Issues for Technical Leaders.  3 Hours.,"An exploration of multicultural workforce issues in today’s workplace.  Emphasis is on the development of pertinent dispositions, skills and abilities to understand and appreciate the dynamics of workplace diversity and perspectives needed to be successful in the global workplace."
Adult and Career Education (ACED),ACED 3850.  Principles of Adult Education.  3 Hours.,"Provides insight into the unique opportunities and challenges of the adult learner as examined in a learning setting. Concepts, theories, and practices will provide students with opportunities to manage pertinent issues, problems, and possible solutions in their work as instructors of adult learners. Emphasis is given to understanding the effect this knowledge has on the teaching-learning process in adult education."
Adult and Career Education (ACED),ACED 3860.  Program Development in Adult and Continuing Education.  3 Hours.,"Insight into, and working knowledge of, the field of adult and continuing education programming. Emphasis is given to understanding the practical and theoretical foundations upon which adult program formation is based, and reflects the needs and interests of the individual, recreation leisure community, and industry."
Adult and Career Education (ACED),ACED 3940.  Interm Admin Office Tech Sklls.  1-6 Hours.,"Prerequisites: ACED 2940 and approval of academic advisor. Graded “Satisfactory” or “Unsatisfactory"".  One credit per year of valid, verifiable employment experience beyond 3 years. Reserved for the granting of academic credit based on either successful completion of office administrative and technical experiential credit based on 4 to 9 years of past work experience, military service, or approved professional licensure (such as CPS or CAP)."
Adult and Career Education (ACED),ACED 4020.  Virtual Office Technology.  3 Hours.,"Prerequisites: ACED 2400 or CS 1000 or consent of instructor. Overview of skills needed to perform as a virtual office assistant, with emphasis on the use of time and information management applications and increased knowledge of the role of online meetings, Internet telephone communication software, Internet research, social networking tools, e-commerce, and mobile devices in the modern office. This course helps prepare students to take a certification exam for a current communication software program."
Adult and Career Education (ACED),ACED 4040.  Introduction to Human Resource Development.  3 Hours.,"This course will provide the student with a comprehensive introduction to Human Resource Management (HRM).  The course examines the principles of employee recruitment and selection, job design and job analysis, employment law, employee compensation, training and development, and safety and health."
Adult and Career Education (ACED),ACED 4050.  Workforce Development and Management for Technical Leaders.  3 Hours.,"Fundamentals of organizational behavior, management, and training examined through the applied context of business education, office administration, technology, and training. Topics include functions of management, education, legislation, personnel, supervision, and training."
Adult and Career Education (ACED),ACED 4070.  Advanced Document Processing.  3 Hours.,"Prerequisites: Grade of “C” or better in ACED 2050, ACED 2300 and ACED 2400 or CS 1000; overall GPA of 2.3 or higher or 2.5 GPA or higher in ACED courses.  A study of advanced document processing functions including composition of business documents, transcription of error-free correspondence, electronic processing of PDF files, and preparation of business reports in APA style."
Adult and Career Education (ACED),ACED 4160.  Administrative Office Procedures.  3 Hours.,"Prerequisites:  Grade of “C” or better in ACED 2050, ACED 2300 and ACED 3400; overall GPA of 2.3 or higher or 2.5 GPA or higher in ACED courses. A study of the role and scope of the administrative assistant position. This course will focus on basic and expanded job responsibilities, professionalism, and the performance of simulated office activities.  Credit may be issued upon receipt of appropriate International Association of Administrative Professionals (IAAP) Certified Administrative Professional (CAP) documentation."
Adult and Career Education (ACED),ACED 4300.  Practicum in Adult and Career Education.  3 Hours.,Prerequisite: Senior Standing and major in appropriate specialization; permission of the advisor must be obtained before registration.
Adult and Career Education (ACED),ACED 4310.  Practicum in Adult and Career Education.  3 Hours.,Prerequisite: Senior Standing and major in appropriate specialization; permission of the advisor must be obtained before registration.
Adult and Career Education (ACED),ACED 4320.  Practicum in Adult and Career Education.  3 Hours.,Prerequisite: Senior Standing and major in appropriate specialization; permission of the advisor must be obtained before registration. Graded “Satisfactory” or “Unsatisfactory.”.
Adult and Career Education (ACED),ACED 4400.  Methods and Media for Teaching Accounting and Basic Business Subjects.  3 Hours.,"Prerequisites: ACED 2999, ACCT 2101, BUSA 2106, ECON 1500. This is a check-point course, and check-point requirements must be met. Methods, materials, and evaluative procedures for teaching effectively in accounting and in the basic business subjects. Field experiences required."
Adult and Career Education (ACED),ACED 4410.  New Teacher Institute.  3 Hours.,Basic instructional and management skills for new secondary career education teachers. Emphasis is on survival skills related to teaching methodology and curriculum implementation that will help them to be successful during their first or second year of teaching.
Adult and Career Education (ACED),ACED 4430.  Advanced New Teacher Institute.  3 Hours.,Prerequisite or corequisite: ACED 4410. Advanced instructional and management skills for new secondary career education teachers. Emphasis is on improvement of skills related to teaching methodology and curriculum implementation that will help them to be more successful as career education practitioners.
Adult and Career Education (ACED),ACED 4500.  Methods and Media for Teaching Business Skill Subjects.  3 Hours.,"Prerequisite: ACED 2999; ACED 4400 with a grade of “C” or better. Methods, materials, and evaluative procedures for teaching effectively in keyboarding, information processing, office education, and cooperative business education. Field experiences required."
Adult and Career Education (ACED),ACED 4510.  Curriculum Development in Adult and Career Education.  3 Hours.,"Principles and procedures for analyzing, describing, and classifying occupations; selecting and sequencing program objectives, units, and tasks, and specifying instructional outcomes. Emphasis is placed on actual occupational analysis and breakdown of responsibilities."
Adult and Career Education (ACED),ACED 4550.  Health and Safety in the Work Environment.  3 Hours.,"Acquaints students with health and safety issues in technical occupations. Emphasis will be on safety regulations, agencies, codes, health issues, environmental concerns in industry, and ergonomic environmental factors in the workplace."
Adult and Career Education (ACED),ACED 4560.  Safety and Health in the Career Education Classroom.  3 Hours.,"Investigation of safety and health issues in a classroom/laboratory setting, the need for appropriate safety programs, planning a safe environment, and addressing health and environmental concerns. Emphasis is placed on planning programs that employ accident prevention methodology and developing health awareness."
Adult and Career Education (ACED),ACED 4600.  Directed Study in Adult and Career Education.  1-3 Hours.,Prerequisite: Consent of the Department Head. An opportunity for intensive individual study on an approved topic.
Adult and Career Education (ACED),ACED 4670.  Techniques of Student Evaluation in Adult and Career Education.  3 Hours.,"Principles and methods of measurement and evaluation in adult and career education programs, emphasizing the administration, scoring, and interpretation of written and performance tests."
Adult and Career Education (ACED),ACED 4680.  Instructional Materials Development in Adult and Career Education.  3 Hours.,"Principles and procedures for planning and developing both print-based and non-print instructional materials for use in the Technical, Trade and Industrial classroom and laboratory."
Adult and Career Education (ACED),ACED 4690.  Instructional Methods and Materials in Adult and Career Education.  3 Hours.,"Prerequisites: ACED 4510.  Principles and procedures for planning and developing instructional materials and methods of effective teaching in the Technical, Trade and Industrial classroom and laboratory. The instructor’s role in the classroom and the delivery of content is emphasized."
Adult and Career Education (ACED),ACED 4710.  Classroom and Laboratory Management.  3 Hours.,"Principles and strategies for managing the classroom and instructional laboratory. Emphasis is placed on establishing an effective learning environment, minimizing disruptive student behavior, and responding properly to discipline problems."
Adult and Career Education (ACED),ACED 4780.  Internship in Teaching Career Education.  6 Hours.,Prerequisite: Completion of appropriate methods and curriculum classes. Graded “Satisfactory” or “Unsatisfactory.” Six hours per semester for a maximum of two semesters.
Adult and Career Education (ACED),ACED 4790.  Student Teaching in Business/Career Education.  10 Hours.,Prerequisite: Completion of all coursework. Corequisite: ACED 4800.
Adult and Career Education (ACED),ACED 4800.  Professional Practices Seminar.  2 Hours.,Prerequisite: Completion of all coursework. Corequisite: ACED 4790. Reflection on educational practices and refinement of concepts emanating from the student teaching experience.
Adult and Career Education (ACED),ACED 4810.  Contemporary Skills for the Workplace.  3 Hours.,"Analysis of the workplace skills needed in a rapidly changing technological society. Emphasis is on communication skills, employee motivation, change management, delegation, team building, and career planning. Students are required to build a career plan and to design a change management project."
Adult and Career Education (ACED),ACED 4820.  Project Management for Technical Leaders.  3 Hours.,"Provides an introduction to the process of project management. Focus is on building the students’ understanding of the tools and strategies available to facilitate the management of multiple on-going projects within a technical environment. Topics include: planning systems, strategic and operational planning, mission and vision statements, performance objectives, time and course estimation, diagraming techniques, and performance monitoring through control systems."
Adult and Career Education (ACED),"ACED 4830.  Technology, Work and Performance for Technical Leaders.  3 Hours.",An examination of the impact of modern technologies on work and worker performance in contemporary workplace sectors and environments.  Emphasis is placed on the competencies and performance expectations of workers and leaders in the technological global workforce environment.
Adult and Career Education (ACED),ACED 4900.  Special Topics in Adult and Career Education.  3 Hours.,"Prerequisite: Consent of the Department Head. Study of a topic relevant to business, adult, or career education."
Aerospace Studies (AS),AS 1000.  Leadership Laboratory.  1 Hour.,"Graded “Satisfactory” or “Unsatisfactory.” Practices in both followership and leadership. A study of Air Force customs and courtesies, drill ceremonies, military commands, and Air Force opportunities (for 1000- and 2000-level AS students). Advanced leadership experiences in planning, organizing, and executing cadet training activities; preparing and presenting briefings and other oral and written communications (for 3000- and 4000-level AS students). The leadership laboratory is required of AS students each semester, but total credit is limited to 3 hours."
Aerospace Studies (AS),AS 1001.  Heritage and Values I.  1 Hour.,"Corequisite: AS 1000. A survey course designed to introduce students to the United States Air and Space Forces and provides an overview of the basic characteristics, missions, and organization of the Air and Space Forces."
Aerospace Studies (AS),AS 1002.  Heritage and Values II.  1 Hour.,"Corequisite: AS 1000. A survey course designed to introduce students to the United States Air and Space Forces and provides an overview of the basic characteristics, missions, and organization of the Air and Space Forces."
Aerospace Studies (AS),AS 2001.  Team and Leadership Fundamentals I.  1 Hour.,Corequisite: AS 1000. Provides a fundamental understanding of both leadership and team building.  The lessons and course flow are designed to prepare students for field training and leadership positions in the detachment.
Aerospace Studies (AS),AS 2002.  Team and Leadership Fundamentals II.  1 Hour.,Corequisite: AS 1000. Provides a fundamental understanding of both leadership and team building.  The lessons and course flow are designed to prepare students for field training and leadership positions in the detachment.
Aerospace Studies (AS),AS 3001.  Leading People and Effective Communication I.  3 Hours.,"Corequisite: AS 1000.  Student's will take a more in-depth look at leadership.  Special emphasis is placed on enhancing communication skills, and why that is important as a leader.  Students have an opportunity to try out these leadership and management techniques in a supervised environment."
Aerospace Studies (AS),AS 3002.  Leading People and Effective Communication II.  3 Hours.,"Corequisite: AS 1000. Student's will take a more in-depth look at leadership.  Special emphasis is placed on enhancing communication skills, and why that is important as a leader.  Students have an opportunity to try out these leadership and management techniques in a supervised environment."
Aerospace Studies (AS),AS 4001.  National Security/Leadership Responsibilities/Commissioning Preparation I.  3 Hours.,Corequisite: AS 1000. Designed for college seniors and gives them the foundation to understand their role as military officers and how they are directly tied to our National Security Strategy.  It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level.
Aerospace Studies (AS),AS 4002.  National Security/Leadership Responsibilities/Commissioning Preparation II.  3 Hours.,Corequisite: AS 1000. Designed for college seniors and gives them the foundation to understand their role as military officers and how they are directly tied to our National Security Strategy.  It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level.
Africana Studies (AFAM),"AFAM 2020.  Race, Class, and Gender.  3 Hours.","Also offered as WGST 2020. This 2000-level course is a core course, not an elective for the AFA minor. An exploration of social class, gender, and racial/ethnic relations as distinct, but linked dimensions of social inequality. Includes an examination of the historic underpinnings of discrimination by race, class, and gender and the present status of these issues."
Africana Studies (AFAM),AFAM 3000.  Introduction to Africana Studies.  3 Hours.,"An introduction to key concepts, thematic concerns, and the theoretical and philosophical bases for African American Studies. To include perspectives and strategies for the analysis and understanding of the impact of African Americans on the socio-economic, cultural, political, and religious developments of America."
Africana Studies (AFAM),AFAM 3030.  African to African American Philosophy and Religious Studies.  3 Hours.,"Also offered as PHIL 3030, REL 3030, and NAIS 3030.  An examination of philosophies and religious traditions which begin in Africa and move through the Caribbean into the Americas.  The course emphasizes ontological and epistemological themes that begin in Africa and cross the Atlantic as well as Indigenous African influences in the philosophies and relgions of the Caribbean and the Americas."
Africana Studies (AFAM),AFAM 3070.  Health Care Issues of Vulnerable Populations in the U.S..  3 Hours.,"Also offered as NURS 3070. Prerequisite: SOCI 1101 or SOCI 1160 or permission of the instructor. Course is open to all majors. An examination of the historical, cultural, social, and political issues that render certain populations in the U.S. vulnerable to ill health. The course utilizes appropriate theories to study these issues, with emphasis on ameliorating the health of vulnerable populations. It will examine issues related to health care access and policies and program developed to reduce risks of disease and injury. It is also designed to raise an awareness of the disparities in health among certain groups, including the poor, ethnic minorities, high-risk women and children, the homeless, and uninsured and underinsured, among others."
Africana Studies (AFAM),AFAM 3090.  Africa: Inequalities Past and Present.  3 Hours.,"Also Offered as ANTH 3090. Prerequisite: ANTH 1102 or permission of instructor. The study and problems of social stratification in Africa from pre-colonial to modern times. Special attention will be paid to both intranational institutions (e.g., kinship, class, and ethnicity) and international political economy."
Africana Studies (AFAM),AFAM 3220.  Studies in African American Literature.  3 Hours.,"Also offered as ENGL 3220.  Prerequisite: C or better in one of the following: ENGL 2111, ENGL 2111H, ENGL 2112, ENGL 2112H, ENGL 2113, ENGL 2113H, or ENGL 2060; or permission of instructor. A study of selected topics in African American literature.  May be repeated, but only 3 hours may be counted toward distribution requirements for the AFAM minor."
Africana Studies (AFAM),AFAM 3225.  Introduction to African American Literacy Criticism.  3 Hours.,"Also offered as ENGL 3225. Prerequisites: ENGL 2111or 2111H, ENGL 2112 or 2112H, ENGL 2113 or 2113H, ENGL 2060, or permission of the instructor. A study of major voices in African American literary theory. This course emphasizes the development of interpretive frameworks for examining the literature from an African American cultural perspective."
Africana Studies (AFAM),AFAM 3230.  Special Topics in African American Literature.  3 Hours.,"Also offered as ENGL 3230. Prerequisites: ENGL 2111 or 2111H, ENGL 2112 or 2112H, ENGL 2113 or 2113H, ENGL 2060, or permission of the instructor.  Studies in African American literature, focusing on selected topics."
Africana Studies (AFAM),AFAM 3280.  African American Politics.  3 Hours.,"Prerequisite:  AFAM 3000.  Also offered as POLS 3280.  A study of African Americans within the American Political environmental.  Specific foci include representation, voting rights, attitudes toward policies seen as impacting African-Americans, and the role of race in elections."
Africana Studies (AFAM),AFAM 3320.  Studies in African Literature.  3 Hours.,"Also offered as ENGL 3320.  Prerequisite: ENGL 2111 or ENGL 2111H, ENGL 2112 or ENGL 2112H, ENGL 2113 or ENGL 2113H, or ENGL 2060. A study of selected topics in African literature.  May be repeated."
Africana Studies (AFAM),AFAM 3600.  Special Topics in Africana Studies.  3 Hours.,"An in-depth study of selected special topics in African American Studies. May be repeated for credit, but only six hours may be counted toward the AFAM minor."
Africana Studies (AFAM),AFAM 4231.  African American History to 1865.  3 Hours.,"Also offered as HIST 4231. The history of the African Americans from their origin in Africa to the end of slavery in the U.S., with emphasis on their economic life and social thought."
Africana Studies (AFAM),AFAM 4232.  African American History Since 1865.  3 Hours.,"Also offered as HIST 4232. The history of the African American struggle for equality after emancipation, with special focus on the problems of black leadership from Frederick Douglass to the Black Panthers."
Africana Studies (AFAM),AFAM 4233.  African American Cultural History.  3 Hours.,"Also offered as HIST 4233.  An examination of the evolution of African American cultural expression from slavery to the present, emphasizing in particular literature, theater, visual art, film, and music."
Africana Studies (AFAM),AFAM 4234.  African American Intellectual History.  3 Hours.,"Also offered as HIST 4234. An examination of intellectual history of African Americans from the 17th century to the present. Topics may include the role of black intellectuals in American society, changing conceptions of race, and the global context of African American thought."
Africana Studies (AFAM),AFAM 4235.  Nazi Germany and the Jim Crow South.  3 Hours.,Also offered as HIST 4235.  A comparative analysis of racial theory and practices in both the Jim Crow South and Nazi Germany in the first half of the 1900's.
Africana Studies (AFAM),AFAM 4330.  African Politics.  3 Hours.,Prerequisite:  AFAM 3000.  Also offered as POLS 4330.  A study of the domestic and international politics of Africa from the pre-colonial period to the present day.
Africana Studies (AFAM),AFAM 4511.  Precolonial Africa.  3 Hours.,"Also offered as HIST 4511. An analysis of the 8000-year-old cultures of the Nile Valley, including Egypt, Nubia, and Kush; West Africa and its contacts with the Middle East and Europe; the East African city-states and their contacts with India."
Africana Studies (AFAM),AFAM 4512.  Modern Africa.  3 Hours.,Also offered as HIST 4512. Explores the European colonization of Africa and the African response. The course also examines the emergence of African nationalism and the problems of creating new states.
Africana Studies (AFAM),AFAM 4550.  The Caribbean World.  3 Hours.,"Prerequisite:  AFAM 3000.  An exploration of contemporary cultures in the Caribbean.  Examinations of historical, political, and social influences are included.  Matters of identity and heritage will also be considered."
Africana Studies (AFAM),AFAM 4551.  Women in the African Diaspora.  3 Hours.,"Prerequisite: AFAM 3000.  A survey of the experiences of women of African descent throughout the world.  Various themes such as resistance, colonialism, and globalization will be explored."
Africana Studies (AFAM),AFAM 4552.  Contemporary Black Man.  3 Hours.,"Prerequisite:  AFAM 3000.  An exploration of what it means to be a Black man in the 21st century.  Historical, political, and cultural perspectives will be considered."
Africana Studies (AFAM),AFAM 4700.  Africana Studies Seminar.  3 Hours.,"Prerequisite: AFAM 3000 and at least two AFAM 3000 level course electives. An interdisciplinary seminar on selected topics, providing a capstone experience."
American Sign Language Studies (ASLS),ASLS 2110.  American Sign Language I.  3 Hours.,"Pre- or Corequisite:  INTP 2998, DEAF 2998, or DEAF 2999.  The first in a series of courses based on American Sign Language concepts and principles. This course presents introductory components of ASL, including signs, fingerspelling, mime, body language, and facial expression. Information about the history of sign language and its existence in society today is also included. Skill focus is on recognition and recall of American Sign Language."
American Sign Language Studies (ASLS),ASLS 2120.  American Sign Language II.  3 Hours.,"Prerequisite: ASLS 2110. The second in a series of courses based on American Sign Language concepts and principles. This course presents additional components of ASL, including signs, fingerspelling, mime, body language, and facial expression. Skill focus is on recognition and recall of American Sign Language with emphasis on increasing speed and fluency."
American Sign Language Studies (ASLS),ASLS 2130.  American Sign Language III.  3 Hours.,"Prerequisites:  ASLS 2120; DEAF 2999 or INTP 2998.  The third course in a series of courses based on American Sign Language concepts and principles.  This course is designed to increase recognition and recall skills in dialogue communication.  American Sign Language idioms are also included as well as a deeper understanding of the grammar, syntax, and complexities within the language."
American Sign Language Studies (ASLS),ASLS 3140.  Linguistics of American Sign Language.  3 Hours.,"Prerequisite: INTP 2998 and ASLS 2130 or permission of the instructor. An overview of structural linguistics, sociolinguistics, and pragmatics of American Sign Languages (ASL). Linguistic theories will be applied to both spoken English and ASL, with other examples being drawn from various languages. Special attention will be paid to phonological (including the application of phonological rules), morphological, lexical, syntactical, and discourse structures of ASL, as well as language variation and language change."
